INDEX,AGE,WORKCLASS,FNLWGT,EDUCATION,EDUCATION_NUM,MARITAL_STATUS,OCCUPATION,RELATIONSHIP,RACE,SEX,CAPITAL_GAIN,CAPITAL_LOSS,HOURS_PER_WEEK,NATIVE_COUNTRY,INCOME
1,22,0,201490,0,9,0,0,0,0,0,0,0,20,0,0
2,52,1,287927,0,9,1,1,1,0,1,15024,0,40,0,1
3,30,0,345898,0,9,0,2,2,1,0,0,0,46,0,0
4,38,0,139180,1,13,2,3,3,1,1,15020,0,45,0,1
5,71,2,287372,2,16,1,2,4,0,0,0,0,10,0,1
6,45,3,252208,0,9,3,0,0,0,1,0,0,40,0,0
7,41,2,202822,0,9,3,2,2,1,1,0,0,32,0,0
8,72,2,129912,0,9,1,2,4,0,0,0,0,25,0,0
9,45,4,119199,3,12,2,3,3,0,1,0,0,48,0,0
10,31,0,199655,4,14,2,4,2,2,1,0,0,30,0,0
11,39,4,111499,3,12,1,0,1,0,1,0,0,20,0,1
12,37,0,198216,3,12,2,5,2,0,1,0,0,40,0,0
13,43,0,260761,0,9,1,6,4,0,0,0,0,40,1,0
14,65,5,99359,5,15,0,3,2,0,0,1086,0,60,0,0
15,43,3,255835,6,10,2,0,5,0,1,0,0,40,0,0
16,43,5,27242,6,10,1,2,4,0,0,0,0,50,0,0
17,32,0,34066,7,6,1,7,4,3,0,0,0,40,0,0
18,43,0,84661,8,11,1,8,4,0,0,0,0,45,0,0
19,32,0,116138,4,14,0,5,2,4,0,0,0,11,2,0
20,53,0,321865,4,14,1,1,4,0,0,0,0,40,0,1
21,22,0,310152,6,10,0,9,2,0,0,0,0,40,0,0
22,27,0,257302,3,12,1,5,1,0,1,0,0,38,0,0
23,40,0,154374,0,9,1,6,4,0,0,0,0,40,0,1
24,58,0,151910,0,9,4,0,3,0,1,0,0,40,0,0
25,22,0,201490,0,9,0,0,0,0,0,0,0,20,0,0
26,52,1,287927,0,9,1,1,1,0,1,15024,0,40,0,1
27,26,0,261203,9,4,0,4,3,2,1,0,0,30,2,0
28,57,0,316000,0,9,1,2,4,0,0,0,0,40,0,0
29,63,3,216871,6,10,1,0,4,0,0,0,1740,40,0,0
30,29,0,246933,0,9,0,0,5,0,0,0,0,40,1,0
31,32,5,112115,1,13,1,3,4,0,0,7688,0,40,0,1
32,34,0,264651,0,9,1,6,4,0,0,0,0,40,0,1
33,43,0,99185,0,9,2,0,3,0,1,0,0,58,0,0
34,39,0,176186,6,10,1,6,4,0,0,0,0,40,0,1
35,28,0,100219,0,9,0,6,0,0,0,0,0,45,0,0
36,32,0,46691,1,13,0,0,2,0,1,0,0,40,0,0
37,28,3,297735,5,15,0,3,2,0,0,0,0,90,0,0
38,40,0,132222,6,10,1,6,4,0,0,4386,0,50,0,1
39,25,0,189656,1,13,0,5,2,0,0,0,0,60,0,1
40,54,4,224934,4,14,1,3,4,0,0,0,0,50,0,1
41,48,1,149218,1,13,1,10,4,0,0,0,0,70,0,1
42,51,0,158508,6,10,2,1,2,0,1,0,0,36,0,0
43,67,3,261203,9,4,1,11,4,0,0,0,0,35,0,0
44,17,0,309504,7,6,0,8,3,0,1,0,0,24,0,0
45,24,3,324637,6,10,0,4,2,0,0,0,0,40,0,0
