INDEX,AGE,WORKCLASS,FNLWGT,EDUCATION,EDUCATION_NUM,MARITAL_STATUS,OCCUPATION,RELATIONSHIP,RACE,SEX,CAPITAL_GAIN,CAPITAL_LOSS,HOURS_PER_WEEK,NATIVE_COUNTRY,INCOME
1,39,0,77516,0,13,0,0,0,0,0,2174,0,40,0,0
2,50,1,83311,0,13,1,1,1,0,0,0,0,13,0,0
3,38,2,215646,1,9,2,2,0,0,0,0,0,40,0,0
4,53,2,234721,2,7,1,2,1,1,0,0,0,40,0,0
5,28,2,338409,0,13,1,3,2,1,1,0,0,40,1,0
6,37,2,284582,3,14,1,1,2,0,1,0,0,40,0,0
7,49,2,160187,4,5,3,4,0,1,1,0,0,16,2,0
8,52,1,209642,1,9,1,1,1,0,0,0,0,45,0,1
9,31,2,45781,3,14,0,3,0,0,1,14084,0,50,0,1
10,42,2,159449,0,13,1,1,1,0,0,5178,0,40,0,1
11,37,2,280464,5,10,1,1,1,1,0,0,0,80,0,1
12,30,0,141297,0,13,1,3,1,2,0,0,0,40,3,1
13,23,2,122272,0,13,0,0,3,0,1,0,0,30,0,0
14,32,2,205019,6,12,0,5,0,1,0,0,0,50,0,0
15,40,2,121772,7,11,1,6,1,2,0,0,0,40,5,1
16,34,2,245487,8,4,1,7,1,3,0,0,0,45,4,0
17,25,1,176756,1,9,0,8,3,0,0,0,0,35,0,0
18,32,2,186824,1,9,0,9,4,0,0,0,0,40,0,0
19,38,2,28887,2,7,1,5,1,0,0,0,0,50,0,0
20,43,1,292175,3,14,2,1,4,0,1,0,0,45,0,1
21,40,2,193524,9,16,1,3,1,0,0,0,0,60,0,1
22,54,2,302146,1,9,4,4,4,1,1,0,0,20,0,0
23,35,3,76845,4,5,1,8,1,1,0,0,0,40,0,0
24,43,2,117037,2,7,1,7,1,0,0,0,2042,40,0,0
25,59,2,109015,1,9,2,10,4,0,1,0,0,40,0,0
26,56,4,216851,0,13,1,10,1,0,0,0,0,40,0,1
27,19,2,168294,1,9,0,6,3,0,0,0,0,40,0,0
28,54,5,180211,5,10,1,5,1,2,0,0,0,60,5,1
29,39,2,367260,1,9,2,1,0,0,0,0,0,80,0,0
30,49,2,193366,1,9,1,6,1,0,0,0,0,40,0,0
31,23,4,190709,6,12,0,11,0,0,0,0,0,52,0,0
32,20,2,266015,5,10,0,5,3,1,0,0,0,44,0,0
33,45,2,386940,0,13,2,1,3,0,0,0,1408,40,0,0
34,30,3,59951,5,10,1,0,3,0,0,0,0,40,0,0
35,22,0,311512,5,10,1,4,1,1,0,0,0,15,0,0
36,48,2,242406,2,7,0,9,4,0,0,0,0,40,6,0
37,21,2,197200,5,10,0,9,3,0,0,0,0,40,0,0
